Datetime,CPU
2023-04-04 23:50:30,
2023-04-04 23:50:31,
2023-04-04 23:50:32,
2023-04-04 23:50:33,
2023-04-04 23:50:34,
2023-04-04 23:50:35,
2023-04-04 23:50:36,
2023-04-04 23:50:37,
2023-04-04 23:50:38,
2023-04-04 23:50:39,
2023-04-04 23:50:40,
2023-04-04 23:50:41,
2023-04-04 23:50:42,
2023-04-04 23:50:43,
2023-04-04 23:50:44,
2023-04-04 23:50:45,
2023-04-04 23:50:46,
2023-04-04 23:50:47,
2023-04-04 23:50:48,
2023-04-04 23:50:49,
2023-04-04 23:50:50,
2023-04-04 23:50:51,
2023-04-04 23:50:52,
2023-04-04 23:50:53,
2023-04-04 23:50:54,
2023-04-04 23:50:55,
2023-04-04 23:50:56,
2023-04-04 23:50:57,
2023-04-04 23:50:58,
2023-04-04 23:50:59,
2023-04-04 23:51:00,
2023-04-04 23:51:01,
2023-04-04 23:51:02,
2023-04-04 23:51:03,
2023-04-04 23:51:04,
2023-04-04 23:51:05,False
2023-04-04 23:51:06,False
2023-04-04 23:51:07,False
2023-04-04 23:51:08,False
2023-04-04 23:51:09,False
2023-04-04 23:51:10,False
2023-04-04 23:51:11,False
2023-04-04 23:51:12,False
2023-04-04 23:51:13,False
2023-04-04 23:51:14,False
2023-04-04 23:51:15,False
2023-04-04 23:51:16,False
2023-04-04 23:51:17,False
2023-04-04 23:51:18,False
2023-04-04 23:51:19,False
2023-04-04 23:51:20,False
2023-04-04 23:51:21,False
2023-04-04 23:51:22,False
2023-04-04 23:51:23,False
2023-04-04 23:51:24,False
2023-04-04 23:51:25,False
2023-04-04 23:51:26,False
2023-04-04 23:51:27,False
2023-04-04 23:51:28,False
2023-04-04 23:51:29,False
2023-04-04 23:51:30,False
2023-04-04 23:51:31,False
2023-04-04 23:51:32,False
2023-04-04 23:51:33,False
2023-04-04 23:51:34,False
2023-04-04 23:51:35,False
2023-04-04 23:51:36,False
2023-04-04 23:51:37,False
2023-04-04 23:51:38,False
2023-04-04 23:51:39,False
2023-04-04 23:51:40,False
2023-04-04 23:51:41,False
2023-04-04 23:51:42,False
2023-04-04 23:51:43,False
2023-04-04 23:51:44,False
2023-04-04 23:51:45,False
2023-04-04 23:51:46,False
2023-04-04 23:51:47,False
2023-04-04 23:51:48,False
2023-04-04 23:51:49,False
2023-04-04 23:51:50,False
2023-04-04 23:51:51,False
2023-04-04 23:51:52,False
2023-04-04 23:51:53,False
2023-04-04 23:51:54,False
2023-04-04 23:51:55,False
2023-04-04 23:51:56,False
2023-04-04 23:51:57,False
2023-04-04 23:51:58,False
2023-04-04 23:51:59,False
2023-04-04 23:52:00,False
2023-04-04 23:52:01,False
2023-04-04 23:52:02,False
2023-04-04 23:52:03,False
2023-04-04 23:52:04,False
2023-04-04 23:52:05,False
2023-04-04 23:52:06,False
2023-04-04 23:52:07,False
2023-04-04 23:52:08,False
2023-04-04 23:52:09,False
2023-04-04 23:52:10,False
2023-04-04 23:52:11,False
2023-04-04 23:52:12,False
2023-04-04 23:52:13,False
2023-04-04 23:52:14,False
2023-04-04 23:52:15,False
2023-04-04 23:52:16,False
2023-04-04 23:52:17,False
2023-04-04 23:52:18,False
2023-04-04 23:52:19,False
2023-04-04 23:52:20,False
2023-04-04 23:52:21,False
2023-04-04 23:52:22,False
2023-04-04 23:52:23,False
2023-04-04 23:52:24,False
2023-04-04 23:52:25,False
2023-04-04 23:52:26,False
2023-04-04 23:52:27,False
2023-04-04 23:52:28,False
2023-04-04 23:52:29,False
2023-04-04 23:52:30,False
2023-04-04 23:52:31,False
2023-04-04 23:52:32,False
2023-04-04 23:52:33,False
2023-04-04 23:52:34,False
2023-04-04 23:52:35,False
2023-04-04 23:52:36,False
2023-04-04 23:52:37,False
2023-04-04 23:52:38,False
2023-04-04 23:52:39,False
2023-04-04 23:52:40,False
2023-04-04 23:52:41,False
2023-04-04 23:52:42,False
2023-04-04 23:52:43,False
2023-04-04 23:52:44,False
2023-04-04 23:52:45,False
2023-04-04 23:52:46,False
2023-04-04 23:52:47,False
2023-04-04 23:52:48,False
2023-04-04 23:52:49,False
2023-04-04 23:52:50,False
2023-04-04 23:52:51,False
2023-04-04 23:52:52,False
2023-04-04 23:52:53,False
2023-04-04 23:52:54,False
2023-04-04 23:52:55,False
2023-04-04 23:52:56,False
2023-04-04 23:52:57,False
2023-04-04 23:52:58,False
2023-04-04 23:52:59,False
2023-04-04 23:53:00,False
2023-04-04 23:53:01,False
2023-04-04 23:53:02,False
2023-04-04 23:53:03,False
2023-04-04 23:53:04,False
2023-04-04 23:53:05,False
2023-04-04 23:53:06,False
2023-04-04 23:53:07,False
2023-04-04 23:53:08,False
2023-04-04 23:53:09,False
2023-04-04 23:53:10,False
2023-04-04 23:53:12,False
2023-04-04 23:53:13,False
2023-04-04 23:53:14,False
2023-04-04 23:53:15,False
2023-04-04 23:53:16,False
2023-04-04 23:53:17,False
2023-04-04 23:53:18,False
2023-04-04 23:53:19,False
2023-04-04 23:53:20,False
2023-04-04 23:53:21,False
2023-04-04 23:53:22,False
